Codigo;es-ES;us-EN;gl-ES
1509;Directores y gerentes de empresas de gestión de residuos y de otras empresas de servicios no clasificados bajo otros epígrafes;Directores y gerentes de empresas de gestión de residuos y de otras empresas de servicios no clasificados bajo otros epígrafes;Directores y gerentes de empresas de gestión de residuos y de otras empresas de servicios no clasificados bajo otros epígrafes
2111;Médicos de familia;Médicos de familia;Médicos de familia
2112;Otros médicos especialistas;Otros médicos especialistas;Otros médicos especialistas
2121;Enfermeros no especializados;Enfermeros no especializados;Enfermeros no especializados
2122;Enfermeros especializados (excepto matronos);Enfermeros especializados (excepto matronos);Enfermeros especializados (excepto matronos)
2123;Matronos;Matronos;Matronos
2130;Veterinarios;Veterinarios;Veterinarios
2140;Farmacéuticos;Farmacéuticos;Farmacéuticos
2151;Odontólogos y estomatólogos;Odontólogos y estomatólogos;Odontólogos y estomatólogos
2152;Fisioterapeutas;Fisioterapeutas;Fisioterapeutas
2153;Dietistas y nutricionistas;Dietistas y nutricionistas;Dietistas y nutricionistas
2154;Logopedas;Logopedas;Logopedas
2155;Ópticos-optometristas;Ópticos-optometristas;Ópticos-optometristas
2156;Terapeutas ocupacionales;Terapeutas ocupacionales;Terapeutas ocupacionales
2157;Podólogos;Podólogos;Podólogos
2158;Profesionales de la salud y la higiene laboral y ambiental;Profesionales de la salud y la higiene laboral y ambiental;Profesionales de la salud y la higiene laboral y ambiental
2159;Profesionales de la salud no clasificados bajo otros epígrafes;Profesionales de la salud no clasificados bajo otros epígrafes;Profesionales de la salud no clasificados bajo otros epígrafes
2210;Profesores de universidades y otra enseñanza superior (excepto formación profesional);Profesores de universidades y otra enseñanza superior (excepto formación profesional);Profesores de universidades y otra enseñanza superior (excepto formación profesional)
2220;Profesores de formación profesional (materias específicas);Profesores de formación profesional (materias específicas);Profesores de formación profesional (materias específicas)
2230;Profesores de enseñanza secundaria (excepto materias específicas de formación profesional);Profesores de enseñanza secundaria (excepto materias específicas de formación profesional);Profesores de enseñanza secundaria (excepto materias específicas de formación profesional)
2240;Profesores de enseñanza primaria;Profesores de enseñanza primaria;Profesores de enseñanza primaria
2251;Maestros de educación infantil;Maestros de educación infantil;Maestros de educación infantil
2252;Técnicos en educación infantil;Técnicos en educación infantil;Técnicos en educación infantil
2311;Profesores de educación especial;Profesores de educación especial;Profesores de educación especial
2312;Técnicos educadores de educación especial;Técnicos educadores de educación especial;Técnicos educadores de educación especial
2321;Especialistas en métodos didácticos y pedagógicos;Especialistas en métodos didácticos y pedagógicos;Especialistas en métodos didácticos y pedagógicos
2322;Profesores de enseñanza no reglada de idiomas;Profesores de enseñanza no reglada de idiomas;Profesores de enseñanza no reglada de idiomas
2323;Profesores de enseñanza no reglada de música y danza;Profesores de enseñanza no reglada de música y danza;Profesores de enseñanza no reglada de música y danza
2324;Profesores de enseñanza no reglada de artes;Profesores de enseñanza no reglada de artes;Profesores de enseñanza no reglada de artes
2325;Instructores en tecnologías de la información en enseñanza no reglada;Instructores en tecnologías de la información en enseñanza no reglada;Instructores en tecnologías de la información en enseñanza no reglada
2326;Profesionales de la educación ambiental;Profesionales de la educación ambiental;Profesionales de la educación ambiental
2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes
2411;Físicos y astrónomos;Físicos y astrónomos;Físicos y astrónomos
2412;Meteorólogos;Meteorólogos;Meteorólogos
2413;Químicos;Químicos;Químicos
2414;Geólogos y geofísicos;Geólogos y geofísicos;Geólogos y geofísicos
2415;Matemáticos y actuarios;Matemáticos y actuarios;Matemáticos y actuarios
2416;Estadísticos;Estadísticos;Estadísticos
2421;Biólogos, botánicos, zoólogos y afines;Biólogos, botánicos, zoólogos y afines;Biólogos, botánicos, zoólogos y afines
2422;Ingenieros agrónomos;Ingenieros agrónomos;Ingenieros agrónomos
2423;Ingenieros de montes;Ingenieros de montes;Ingenieros de montes
2424;Ingenieros técnicos agrícolas;Ingenieros técnicos agrícolas;Ingenieros técnicos agrícolas
2425;Ingenieros técnicos forestales y del medio natural;Ingenieros técnicos forestales y del medio natural;Ingenieros técnicos forestales y del medio natural
2426;Profesionales de la protección ambiental;Profesionales de la protección ambiental;Profesionales de la protección ambiental
2427;Enólogos;Enólogos;Enólogos
2431;Ingenieros industriales y de producción;Ingenieros industriales y de producción;Ingenieros industriales y de producción
2432;Ingenieros en construcción y obra civil;Ingenieros en construcción y obra civil;Ingenieros en construcción y obra civil
2433;Ingenieros mecánicos;Ingenieros mecánicos;Ingenieros mecánicos
2434;Ingenieros aeronáuticos;Ingenieros aeronáuticos;Ingenieros aeronáuticos
2435;Ingenieros químicos;Ingenieros químicos;Ingenieros químicos
2436;Ingenieros de minas, metalúrgicos y afines;Ingenieros de minas, metalúrgicos y afines;Ingenieros de minas, metalúrgicos y afines
2437;Ingenieros ambientales;Ingenieros ambientales;Ingenieros ambientales
2439;Ingenieros no clasificados bajo otros epígrafes;Ingenieros no clasificados bajo otros epígrafes;Ingenieros no clasificados bajo otros epígrafes
2441;Ingenieros en electricidad;Ingenieros en electricidad;Ingenieros en electricidad
2442;Ingenieros electrónicos;Ingenieros electrónicos;Ingenieros electrónicos
2443;Ingenieros en telecomunicaciones;Ingenieros en telecomunicaciones;Ingenieros en telecomunicaciones
2451;Arquitectos (excepto arquitectos paisajistas y urbanistas);Arquitectos (excepto arquitectos paisajistas y urbanistas);Arquitectos (excepto arquitectos paisajistas y urbanistas)
2452;Arquitectos paisajistas;Arquitectos paisajistas;Arquitectos paisajistas
2453;Urbanistas e ingenieros de tráfico;Urbanistas e ingenieros de tráfico;Urbanistas e ingenieros de tráfico
2454;Ingenieros geógrafos y cartógrafos;Ingenieros geógrafos y cartógrafos;Ingenieros geógrafos y cartógrafos
2461;Ingenieros técnicos industriales y de producción;Ingenieros técnicos industriales y de producción;Ingenieros técnicos industriales y de producción
2462;Ingenieros técnicos de obras públicas;Ingenieros técnicos de obras públicas;Ingenieros técnicos de obras públicas
2463;Ingenieros técnicos mecánicos;Ingenieros técnicos mecánicos;Ingenieros técnicos mecánicos
2464;Ingenieros técnicos aeronáuticos;Ingenieros técnicos aeronáuticos;Ingenieros técnicos aeronáuticos
2465;Ingenieros técnicos químicos;Ingenieros técnicos químicos;Ingenieros técnicos químicos
2466;Ingenieros técnicos de minas, metalúrgicos y afines;Ingenieros técnicos de minas, metalúrgicos y afines;Ingenieros técnicos de minas, metalúrgicos y afines
2469;Ingenieros técnicos no clasificados bajo otros epígrafes;Ingenieros técnicos no clasificados bajo otros epígrafes;Ingenieros técnicos no clasificados bajo otros epígrafes
2471;Ingenieros técnicos en electricidad;Ingenieros técnicos en electricidad;Ingenieros técnicos en electricidad
2472;Ingenieros técnicos en electrónica;Ingenieros técnicos en electrónica;Ingenieros técnicos en electrónica
2473;Ingenieros técnicos en telecomunicaciones;Ingenieros técnicos en telecomunicaciones;Ingenieros técnicos en telecomunicaciones
2481;Arquitectos técnicos y técnicos urbanistas;Arquitectos técnicos y técnicos urbanistas;Arquitectos técnicos y técnicos urbanistas
2482;Diseñadores de productos y de prendas;Diseñadores de productos y de prendas;Diseñadores de productos y de prendas
2483;Ingenieros técnicos en topografía;Ingenieros técnicos en topografía;Ingenieros técnicos en topografía
2484;Diseñadores gráficos y multimedia;Diseñadores gráficos y multimedia;Diseñadores gráficos y multimedia
2511;Abogados;Abogados;Abogados
2512;Fiscales;Fiscales;Fiscales
2513;Jueces y magistrados;Jueces y magistrados;Jueces y magistrados
2591;Notarios y registradores;Notarios y registradores;Notarios y registradores
2592;Procuradores;Procuradores;Procuradores
2599;Profesionales del derecho no clasificados bajo otros epígrafes;Profesionales del derecho no clasificados bajo otros epígrafes;Profesionales del derecho no clasificados bajo otros epígrafes
2611;Especialistas en contabilidad;Especialistas en contabilidad;Especialistas en contabilidad
2612;Asesores financieros y en inversiones;Asesores financieros y en inversiones;Asesores financieros y en inversiones
2613;Analistas financieros;Analistas financieros;Analistas financieros
2621;Analistas de gestión y organización;Analistas de gestión y organización;Analistas de gestión y organización
2622;Especialistas en administración de política de empresas;Especialistas en administración de política de empresas;Especialistas en administración de política de empresas
2623;Especialistas de la Administración Pública;Especialistas de la Administración Pública;Especialistas de la Administración Pública
2624;Especialistas en políticas y servicios de personal y afines;Especialistas en políticas y servicios de personal y afines;Especialistas en políticas y servicios de personal y afines
2625;Especialistas en formación de personal;Especialistas en formación de personal;Especialistas en formación de personal
2630;Técnicos de empresas y actividades turísticas;Técnicos de empresas y actividades turísticas;Técnicos de empresas y actividades turísticas
2640;Profesionales de ventas técnicas y médicas (excepto las TIC);Profesionales de ventas técnicas y médicas (excepto las TIC);Profesionales de ventas técnicas y médicas (excepto las TIC)
2651;Profesionales de la publicidad y la comercialización;Profesionales de la publicidad y la comercialización;Profesionales de la publicidad y la comercialización
2652;Profesionales de relaciones públicas;Profesionales de relaciones públicas;Profesionales de relaciones públicas
2653;Profesionales de la venta de tecnologías de la información y las comunicaciones;Profesionales de la venta de tecnologías de la información y las comunicaciones;Profesionales de la venta de tecnologías de la información y las comunicaciones
2711;Analistas de sistemas;Analistas de sistemas;Analistas de sistemas
2712;Analistas y diseñadores de software;Analistas y diseñadores de software;Analistas y diseñadores de software
2713;Analistas, programadores y diseñadores Web y multimedia;Analistas, programadores y diseñadores Web y multimedia;Analistas, programadores y diseñadores Web y multimedia
2719;Analistas y diseñadores de software y multimedia no clasificados bajo otros epígrafes;Analistas y diseñadores de software y multimedia no clasificados bajo otros epígrafes;Analistas y diseñadores de software y multimedia no clasificados bajo otros epígrafes
2721;Diseñadores y administradores de bases de datos;Diseñadores y administradores de bases de datos;Diseñadores y administradores de bases de datos
2722;Administradores de sistemas y redes;Administradores de sistemas y redes;Administradores de sistemas y redes
2723;Analistas de redes informáticas;Analistas de redes informáticas;Analistas de redes informáticas
2729;Especialistas en bases de datos y en redes informáticas no clasificados bajo otros epígrafes;Especialistas en bases de datos y en redes informáticas no clasificados bajo otros epígrafes;Especialistas en bases de datos y en redes informáticas no clasificados bajo otros epígrafes
2810;Economistas;Economistas;Economistas
2821;Sociólogos, geógrafos, antropólogos, arqueólogos y afines;Sociólogos, geógrafos, antropólogos, arqueólogos y afines;Sociólogos, geógrafos, antropólogos, arqueólogos y afines
2822;Filósofos, historiadores y profesionales en ciencias políticas;Filósofos, historiadores y profesionales en ciencias políticas;Filósofos, historiadores y profesionales en ciencias políticas
2823;Psicólogos;Psicólogos;Psicólogos
2824;Profesionales del trabajo y la educación social;Profesionales del trabajo y la educación social;Profesionales del trabajo y la educación social
2825;Agentes de igualdad de oportunidades entre mujeres y hombres;Agentes de igualdad de oportunidades entre mujeres y hombres;Agentes de igualdad de oportunidades entre mujeres y hombres
2830;Sacerdotes de las distintas religiones;Sacerdotes de las distintas religiones;Sacerdotes de las distintas religiones
2911;Archivistas y conservadores de museos;Archivistas y conservadores de museos;Archivistas y conservadores de museos
2912;Bibliotecarios, documentalistas y afines;Bibliotecarios, documentalistas y afines;Bibliotecarios, documentalistas y afines
2921;Escritores;Escritores;Escritores
2922;Periodistas;Periodistas;Periodistas
2923;Filólogos, intérpretes y traductores;Filólogos, intérpretes y traductores;Filólogos, intérpretes y traductores
2931;Artistas de artes plásticas y visuales;Artistas de artes plásticas y visuales;Artistas de artes plásticas y visuales
2932;Compositores, músicos y cantantes;Compositores, músicos y cantantes;Compositores, músicos y cantantes
2933;Coreógrafos y bailarines;Coreógrafos y bailarines;Coreógrafos y bailarines
2934;Directores de cine, de teatro y afines;Directores de cine, de teatro y afines;Directores de cine, de teatro y afines
2935;Actores;Actores;Actores
2936;Locutores de radio, televisión y otros presentadores;Locutores de radio, televisión y otros presentadores;Locutores de radio, televisión y otros presentadores
2937;Profesionales de espectáculos taurinos;Profesionales de espectáculos taurinos;Profesionales de espectáculos taurinos
2939;Artistas creativos e interpretativos no clasificados bajo otros epígrafes;Artistas creativos e interpretativos no clasificados bajo otros epígrafes;Artistas creativos e interpretativos no clasificados bajo otros epígrafes
3110;Delineantes y dibujantes técnicos;Delineantes y dibujantes técnicos;Delineantes y dibujantes técnicos
3121;Técnicos en ciencias físicas y químicas;Técnicos en ciencias físicas y químicas;Técnicos en ciencias físicas y químicas
3122;Técnicos en construcción;Técnicos en construcción;Técnicos en construcción
3123;Técnicos en electricidad;Técnicos en electricidad;Técnicos en electricidad
3124;Técnicos en electrónica (excepto electromedicina);Técnicos en electrónica (excepto electromedicina);Técnicos en electrónica (excepto electromedicina)
3125;Técnicos en electrónica, especialidad en electromedicina;Técnicos en electrónica, especialidad en electromedicina;Técnicos en electrónica, especialidad en electromedicina
3126;Técnicos en mecánica;Técnicos en mecánica;Técnicos en mecánica
3127;Técnicos y analistas de laboratorio en química industrial;Técnicos y analistas de laboratorio en química industrial;Técnicos y analistas de laboratorio en química industrial
3128;Técnicos en metalurgia y minas;Técnicos en metalurgia y minas;Técnicos en metalurgia y minas
3129;Otros técnicos de las ciencias físicas, químicas, medioambientales y de las ingenierías;Otros técnicos de las ciencias físicas, químicas, medioambientales y de las ingenierías;Otros técnicos de las ciencias físicas, químicas, medioambientales y de las ingenierías
3131;Técnicos en instalaciones de producción de energía;Técnicos en instalaciones de producción de energía;Técnicos en instalaciones de producción de energía
3132;Técnicos en instalaciones de tratamiento de residuos, de aguas y otros operadores en plantas similares;Técnicos en instalaciones de tratamiento de residuos, de aguas y otros operadores en plantas similares;Técnicos en instalaciones de tratamiento de residuos, de aguas y otros operadores en plantas similares
3133;Técnicos en control de instalaciones de procesamiento de productos químicos;Técnicos en control de instalaciones de procesamiento de productos químicos;Técnicos en control de instalaciones de procesamiento de productos químicos
3134;Técnicos de refinerías de petróleo y gas natural;Técnicos de refinerías de petróleo y gas natural;Técnicos de refinerías de petróleo y gas natural
3135;Técnicos en control de procesos de producción de metales;Técnicos en control de procesos de producción de metales;Técnicos en control de procesos de producción de metales
3139;Técnicos en control de procesos no clasificados bajo otros epígrafes;Técnicos en control de procesos no clasificados bajo otros epígrafes;Técnicos en control de procesos no clasificados bajo otros epígrafes
3141;Técnicos en ciencias biológicas (excepto en áreas sanitarias);Técnicos en ciencias biológicas (excepto en áreas sanitarias);Técnicos en ciencias biológicas (excepto en áreas sanitarias)
3142;Técnicos agropecuarios;Técnicos agropecuarios;Técnicos agropecuarios
3143;Técnicos forestales y del medio natural;Técnicos forestales y del medio natural;Técnicos forestales y del medio natural
3151;Jefes y oficiales de máquinas;Jefes y oficiales de máquinas;Jefes y oficiales de máquinas
3152;Capitanes y oficiales de puente;Capitanes y oficiales de puente;Capitanes y oficiales de puente
3153;Pilotos de aviación y profesionales afines;Pilotos de aviación y profesionales afines;Pilotos de aviación y profesionales afines
3154;Controladores de tráfico aéreo;Controladores de tráfico aéreo;Controladores de tráfico aéreo
3155;Técnicos en seguridad aeronáutica;Técnicos en seguridad aeronáutica;Técnicos en seguridad aeronáutica
3160;Técnicos de control de calidad de las ciencias físicas, químicas y de las ingenierías;Técnicos de control de calidad de las ciencias físicas, químicas y de las ingenierías;Técnicos de control de calidad de las ciencias físicas, químicas y de las ingenierías
3201;Supervisores en ingeniería de minas;Supervisores en ingeniería de minas;Supervisores en ingeniería de minas
3202;Supervisores de la construcción;Supervisores de la construcción;Supervisores de la construcción
3203;Supervisores de industrias alimenticias y del tabaco;Supervisores de industrias alimenticias y del tabaco;Supervisores de industrias alimenticias y del tabaco
3204;Supervisores de industrias química y farmacéutica;Supervisores de industrias química y farmacéutica;Supervisores de industrias química y farmacéutica
3205;Supervisores de industrias de transformación de plásticos, caucho y resinas naturales;Supervisores de industrias de transformación de plásticos, caucho y resinas naturales;Supervisores de industrias de transformación de plásticos, caucho y resinas naturales
3206;Supervisores de industrias de la madera y pastero papeleras;Supervisores de industrias de la madera y pastero papeleras;Supervisores de industrias de la madera y pastero papeleras
3207;Supervisores de la producción en industrias de artes gráficas y en la fabricación de productos de papel;Supervisores de la producción en industrias de artes gráficas y en la fabricación de productos de papel;Supervisores de la producción en industrias de artes gráficas y en la fabricación de productos de papel
3209;Supervisores de otras industrias manufactureras;Supervisores de otras industrias manufactureras;Supervisores de otras industrias manufactureras
3311;Técnicos en radioterapia;Técnicos en radioterapia;Técnicos en radioterapia
3312;Técnicos en imagen para el diagnóstico;Técnicos en imagen para el diagnóstico;Técnicos en imagen para el diagnóstico
3313;Técnicos en anatomía patológica y citología;Técnicos en anatomía patológica y citología;Técnicos en anatomía patológica y citología
3314;Técnicos en laboratorio de diagnóstico clínico;Técnicos en laboratorio de diagnóstico clínico;Técnicos en laboratorio de diagnóstico clínico
3315;Técnicos en ortoprótesis;Técnicos en ortoprótesis;Técnicos en ortoprótesis
3316;Técnicos en prótesis dentales;Técnicos en prótesis dentales;Técnicos en prótesis dentales
3317;Técnicos en audioprótesis;Técnicos en audioprótesis;Técnicos en audioprótesis
3321;Técnicos superiores en higiene bucodental;Técnicos superiores en higiene bucodental;Técnicos superiores en higiene bucodental
3322;Técnicos superiores en documentación sanitaria;Técnicos superiores en documentación sanitaria;Técnicos superiores en documentación sanitaria
3323;Técnicos superiores en dietética;Técnicos superiores en dietética;Técnicos superiores en dietética
3324;Técnicos en optometría;Técnicos en optometría;Técnicos en optometría
3325;Ayudantes fisioterapeutas;Ayudantes fisioterapeutas;Ayudantes fisioterapeutas
3326;Técnicos en prevención de riesgos laborales y salud ambiental;Técnicos en prevención de riesgos laborales y salud ambiental;Técnicos en prevención de riesgos laborales y salud ambiental
3327;Ayudantes de veterinaria;Ayudantes de veterinaria;Ayudantes de veterinaria
3329;Técnicos de la sanidad no clasificados bajo otros epígrafes;Técnicos de la sanidad no clasificados bajo otros epígrafes;Técnicos de la sanidad no clasificados bajo otros epígrafes
3331;Profesionales de la acupuntura, la naturopatía, la homeopatía, la medicina tradicional china y la ayurveda;Profesionales de la acupuntura, la naturopatía, la homeopatía, la medicina tradicional china y la ayurveda;Profesionales de la acupuntura, la naturopatía, la homeopatía, la medicina tradicional china y la ayurveda
3339;Otros profesionales de las terapias alternativas;Otros profesionales de las terapias alternativas;Otros profesionales de las terapias alternativas
3401;Profesionales de apoyo e intermediarios de cambio, bolsa y finanzas;Profesionales de apoyo e intermediarios de cambio, bolsa y finanzas;Profesionales de apoyo e intermediarios de cambio, bolsa y finanzas
3402;Comerciales de préstamos y créditos;Comerciales de préstamos y créditos;Comerciales de préstamos y créditos
3403;Tenedores de libros;Tenedores de libros;Tenedores de libros
3404;Profesionales de apoyo en servicios estadísticos, matemáticos y afines;Profesionales de apoyo en servicios estadísticos, matemáticos y afines;Profesionales de apoyo en servicios estadísticos, matemáticos y afines
3405;Tasadores;Tasadores;Tasadores
3510;Agentes y representantes comerciales;Agentes y representantes comerciales;Agentes y representantes comerciales
3521;Mediadores y agentes de seguros;Mediadores y agentes de seguros;Mediadores y agentes de seguros
3522;Agentes de compras;Agentes de compras;Agentes de compras
3523;Consignatarios;Consignatarios;Consignatarios
3531;Representantes de aduanas;Representantes de aduanas;Representantes de aduanas
3532;Organizadores de conferencias y eventos;Organizadores de conferencias y eventos;Organizadores de conferencias y eventos
3533;Agentes o intermediarios en la contratación de la mano de obra (excepto representantes de espectáculos);Agentes o intermediarios en la contratación de la mano de obra (excepto representantes de espectáculos);Agentes o intermediarios en la contratación de la mano de obra (excepto representantes de espectáculos)
3534;Agentes y administradores de la propiedad inmobiliaria;Agentes y administradores de la propiedad inmobiliaria;Agentes y administradores de la propiedad inmobiliaria
3535;Portavoces y agentes de relaciones públicas;Portavoces y agentes de relaciones públicas;Portavoces y agentes de relaciones públicas
3539;Representantes artísticos y deportivos y otros agentes de servicios comerciales no clasificados bajo otros epígrafes;Representantes artísticos y deportivos y otros agentes de servicios comerciales no clasificados bajo otros epígrafes;Representantes artísticos y deportivos y otros agentes de servicios comerciales no clasificados bajo otros epígrafes
3611;Supervisores de secretaría;Supervisores de secretaría;Supervisores de secretaría
3612;Asistentes jurídico-legales;Asistentes jurídico-legales;Asistentes jurídico-legales
3613;Asistentes de dirección y administrativos;Asistentes de dirección y administrativos;Asistentes de dirección y administrativos
3614;Secretarios de centros médicos o clínicas;Secretarios de centros médicos o clínicas;Secretarios de centros médicos o clínicas
3621;Profesionales de apoyo de la Administración Pública de tributos;Profesionales de apoyo de la Administración Pública de tributos;Profesionales de apoyo de la Administración Pública de tributos
3622;Profesionales de apoyo de la Administración Pública de servicios sociales;Profesionales de apoyo de la Administración Pública de servicios sociales;Profesionales de apoyo de la Administración Pública de servicios sociales
3623;Profesionales de apoyo de la Administración Pública de servicios de expedición de licencias;Profesionales de apoyo de la Administración Pública de servicios de expedición de licencias;Profesionales de apoyo de la Administración Pública de servicios de expedición de licencias
3629;Otros profesionales de apoyo de la Administración Pública para tareas de inspección y control y tareas similares;Otros profesionales de apoyo de la Administración Pública para tareas de inspección y control y tareas similares;Otros profesionales de apoyo de la Administración Pública para tareas de inspección y control y tareas similares
3631;Técnicos de la policía nacional, autonómica y local;Técnicos de la policía nacional, autonómica y local;Técnicos de la policía nacional, autonómica y local
3632;Suboficiales de la guardia civil;Suboficiales de la guardia civil;Suboficiales de la guardia civil
3711;Profesionales de apoyo de servicios jurídicos y servicios similares;Profesionales de apoyo de servicios jurídicos y servicios similares;Profesionales de apoyo de servicios jurídicos y servicios similares
3712;Detectives privados;Detectives privados;Detectives privados
3713;Profesionales de apoyo al trabajo y a la educación social;Profesionales de apoyo al trabajo y a la educación social;Profesionales de apoyo al trabajo y a la educación social
3714;Promotores de igualdad de oportunidades entre mujeres y hombres;Promotores de igualdad de oportunidades entre mujeres y hombres;Promotores de igualdad de oportunidades entre mujeres y hombres
3715;Animadores comunitarios;Animadores comunitarios;Animadores comunitarios
3716;Auxiliares laicos de las religiones;Auxiliares laicos de las religiones;Auxiliares laicos de las religiones
3721;Atletas y deportistas;Atletas y deportistas;Atletas y deportistas
3722;Entrenadores y árbitros de actividades deportivas;Entrenadores y árbitros de actividades deportivas;Entrenadores y árbitros de actividades deportivas
3723;Instructores de actividades deportivas;Instructores de actividades deportivas;Instructores de actividades deportivas
3724;Monitores de actividades recreativas y de entretenimiento;Monitores de actividades recreativas y de entretenimiento;Monitores de actividades recreativas y de entretenimiento
3731;Fotógrafos;Fotógrafos;Fotógrafos
3732;Diseñadores y decoradores de interior;Diseñadores y decoradores de interior;Diseñadores y decoradores de interior
3733;Técnicos en galerías de arte, museos y bibliotecas;Técnicos en galerías de arte, museos y bibliotecas;Técnicos en galerías de arte, museos y bibliotecas
3734;Chefs;Chefs;Chefs
3739;Otros técnicos y profesionales de apoyo de actividades culturales y artísticas;Otros técnicos y profesionales de apoyo de actividades culturales y artísticas;Otros técnicos y profesionales de apoyo de actividades culturales y artísticas
3811;Técnicos en operaciones de sistemas informáticos;Técnicos en operaciones de sistemas informáticos;Técnicos en operaciones de sistemas informáticos
3812;Técnicos en asistencia al usuario de tecnologías de la información;Técnicos en asistencia al usuario de tecnologías de la información;Técnicos en asistencia al usuario de tecnologías de la información
3813;Técnicos en redes;Técnicos en redes;Técnicos en redes
3814;Técnicos de la Web;Técnicos de la Web;Técnicos de la Web
3820;Programadores informáticos;Programadores informáticos;Programadores informáticos
3831;Técnicos de grabación audiovisual;Técnicos de grabación audiovisual;Técnicos de grabación audiovisual
3832;Técnicos de radiodifusión;Técnicos de radiodifusión;Técnicos de radiodifusión
3833;Técnicos de ingeniería de las telecomunicaciones;Técnicos de ingeniería de las telecomunicaciones;Técnicos de ingeniería de las telecomunicaciones
4111;Empleados de contabilidad;Empleados de contabilidad;Empleados de contabilidad
4112;Empleados de control de personal y nóminas;Empleados de control de personal y nóminas;Empleados de control de personal y nóminas
4113;Empleados de oficina de servicios estadísticos, financieros y bancarios;Empleados de oficina de servicios estadísticos, financieros y bancarios;Empleados de oficina de servicios estadísticos, financieros y bancarios
4121;Empleados de control de abastecimientos e inventario;Empleados de control de abastecimientos e inventario;Empleados de control de abastecimientos e inventario
4122;Empleados de oficina de servicios de apoyo a la producción;Empleados de oficina de servicios de apoyo a la producción;Empleados de oficina de servicios de apoyo a la producción
4123;Empleados de logística y transporte de pasajeros y mercancías;Empleados de logística y transporte de pasajeros y mercancías;Empleados de logística y transporte de pasajeros y mercancías
4210;Empleados de bibliotecas y archivos;Empleados de bibliotecas y archivos;Empleados de bibliotecas y archivos
4221;Empleados de servicios de correos (excepto empleados de mostrador);Empleados de servicios de correos (excepto empleados de mostrador);Empleados de servicios de correos (excepto empleados de mostrador)
4222;Codificadores y correctores de imprenta;Codificadores y correctores de imprenta;Codificadores y correctores de imprenta
4223;Empleados de servicio de personal;Empleados de servicio de personal;Empleados de servicio de personal
4301;Grabadores de datos;Grabadores de datos;Grabadores de datos
4309;Empleados administrativos sin tareas de atención al público no clasificados bajo otros epígrafes;Empleados administrativos sin tareas de atención al público no clasificados bajo otros epígrafes;Empleados administrativos sin tareas de atención al público no clasificados bajo otros epígrafes
4411;Empleados de información al usuario;Empleados de información al usuario;Empleados de información al usuario
4412;Recepcionistas (excepto de hoteles);Recepcionistas (excepto de hoteles);Recepcionistas (excepto de hoteles)
4421;Empleados de agencias de viajes;Empleados de agencias de viajes;Empleados de agencias de viajes
4422;Recepcionistas de hoteles;Recepcionistas de hoteles;Recepcionistas de hoteles
4423;Telefonistas;Telefonistas;Telefonistas
4424;Teleoperadores;Teleoperadores;Teleoperadores
4430;Agentes de encuestas;Agentes de encuestas;Agentes de encuestas
4441;Cajeros de bancos y afines;Cajeros de bancos y afines;Cajeros de bancos y afines
4442;Empleados de venta de apuestas;Empleados de venta de apuestas;Empleados de venta de apuestas
4443;Empleados de sala de juegos y afines;Empleados de sala de juegos y afines;Empleados de sala de juegos y afines
4444;Empleados de casas de empeño y de préstamos;Empleados de casas de empeño y de préstamos;Empleados de casas de empeño y de préstamos
4445;Cobradores de facturas, deudas y empleados afines;Cobradores de facturas, deudas y empleados afines;Cobradores de facturas, deudas y empleados afines
4446;Empleados de mostrador de correos;Empleados de mostrador de correos;Empleados de mostrador de correos
4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
5000;Camareros y cocineros propietarios;Camareros y cocineros propietarios;Camareros y cocineros propietarios
5110;Cocineros asalariados;Cocineros asalariados;Cocineros asalariados
5120;Camareros asalariados;Camareros asalariados;Camareros asalariados
5210;Jefes de sección de tiendas y almacenes;Jefes de sección de tiendas y almacenes;Jefes de sección de tiendas y almacenes
5220;Vendedores en tiendas y almacenes;Vendedores en tiendas y almacenes;Vendedores en tiendas y almacenes
5300;Comerciantes propietarios de tiendas;Comerciantes propietarios de tiendas;Comerciantes propietarios de tiendas
5411;Vendedores en quioscos;Vendedores en quioscos;Vendedores en quioscos
5412;Vendedores en mercados ocasionales y mercadillos;Vendedores en mercados ocasionales y mercadillos;Vendedores en mercados ocasionales y mercadillos
5420;Operadores de telemarketing;Operadores de telemarketing;Operadores de telemarketing
5430;Expendedores de gasolineras;Expendedores de gasolineras;Expendedores de gasolineras
5491;Vendedores a domicilio;Vendedores a domicilio;Vendedores a domicilio
5492;Promotores de venta;Promotores de venta;Promotores de venta
5493;Modelos de moda, arte y publicidad;Modelos de moda, arte y publicidad;Modelos de moda, arte y publicidad
5499;Vendedores no clasificados bajo otros epígrafes;Vendedores no clasificados bajo otros epígrafes;Vendedores no clasificados bajo otros epígrafes
5500;Cajeros y taquilleros (excepto bancos);Cajeros y taquilleros (excepto bancos);Cajeros y taquilleros (excepto bancos)
5611;Auxiliares de enfermería hospitalaria;Auxiliares de enfermería hospitalaria;Auxiliares de enfermería hospitalaria
